,Company_Name,Ratings,Rating_Count,Salary,Interview,Jobs
5481,HDFC Bank,3.8,51.1k,1.5L,3k,330
5482,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5483,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5484,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5485,Cognizant,3.6,60.2k,6L,6.3k,624
5486,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5487,HDFC Bank,3.8,51.1k,1.5L,3k,330
5488,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
5489,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5490,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5491,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5492,Cognizant,3.6,60.2k,6L,6.3k,624
5493,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5494,HDFC Bank,3.8,51.1k,1.5L,3k,330
5495,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
5496,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
5497,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5498,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5499,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5500,Cognizant,3.6,60.2k,6L,6.3k,624
5501,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5502,HDFC Bank,3.8,51.1k,1.5L,3k,330
5503,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
5504,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
5505,HCLTech,3.4,44.8k,3.8L,4.5k,284
5506,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5507,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5508,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5509,Cognizant,3.6,60.2k,6L,6.3k,624
5510,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5511,HDFC Bank,3.8,51.1k,1.5L,3k,330
5512,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
5513,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
5514,HCLTech,3.4,44.8k,3.8L,4.5k,284
5515,Tech Mahindra,3.4,42.6k,2.8L,4.5k,639
5516,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5517,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5518,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5519,Cognizant,3.6,60.2k,6L,6.3k,624
5520,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5521,HDFC Bank,3.8,51.1k,1.5L,3k,330
5522,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
5523,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
5524,HCLTech,3.4,44.8k,3.8L,4.5k,284
5525,Tech Mahindra,3.4,42.6k,2.8L,4.5k,639
5526,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
5527,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5528,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5529,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5530,Cognizant,3.6,60.2k,6L,6.3k,624
5531,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
