,Company_Name,Ratings,Rating_Count,Salary,Interview,Jobs
8564,Hatsun Agro Product,3.8,1.3k,4.6k,79,15
8565,Brillio,3.4,1.3k,10.3k,141,15
8566,GEP Worldwide,3.6,1.3k,9.1k,154,11
8567,Cinépolis,3.8,1.3k,2.9k,78,23
8568,Pantaloons,4.1,1.3k,2.8k,69,--
8569,Hindustan Construction Company,4.3,1.3k,3.2k,93,5
8570,Punjab National Bank,3.8,1.3k,2.9k,59,--
8571,R Systems International,3.5,1.3k,7.4k,146,22
8572,VIBGYOR Group of Schools,3.5,1.3k,4.1k,97,245
8573,Bluestock ™,4.5,1.3k,57,385,--
8574,The Ramco Cements,4.0,1.3k,4.1k,92,--
8575,Shubham Housing Development Finance,3.9,1.3k,3k,52,6
8576,CreditAccess Grameen,3.9,1.3k,2.5k,53,15
8577,Nippon Paint India,4.0,1.3k,4k,77,--
8578,Atul,3.9,1.3k,5.2k,97,5
8579,RBL FinServe,3.9,1.3k,3k,66,--
8580,Fabindia,3.8,1.3k,4k,60,2
8581,Grant Thornton,3.4,1.3k,11.1k,117,295
8582,Hatsun Agro Product,3.8,1.3k,4.6k,79,15
8583,Brillio,3.4,1.3k,10.3k,141,15
8584,GEP Worldwide,3.6,1.3k,9.1k,154,11
8585,Cinépolis,3.8,1.3k,2.9k,78,23
8586,Pantaloons,4.1,1.3k,2.8k,69,--
8587,Hindustan Construction Company,4.3,1.3k,3.2k,93,5
8588,Punjab National Bank,3.8,1.3k,2.9k,59,--
8589,R Systems International,3.5,1.3k,7.4k,146,22
8590,CenturyPly,3.8,1.3k,4.3k,91,44
8591,VIBGYOR Group of Schools,3.5,1.3k,4.1k,97,245
8592,Bluestock ™,4.5,1.3k,57,385,--
8593,The Ramco Cements,4.0,1.3k,4.1k,92,--
8594,Shubham Housing Development Finance,3.9,1.3k,3k,52,6
8595,CreditAccess Grameen,3.9,1.3k,2.5k,53,15
8596,Nippon Paint India,4.0,1.3k,4k,77,--
8597,Atul,3.9,1.3k,5.2k,97,5
8598,RBL FinServe,3.9,1.3k,3k,66,--
8599,Fabindia,3.8,1.3k,4k,60,2
8600,Grant Thornton,3.4,1.3k,11.1k,117,295
8601,Hatsun Agro Product,3.8,1.3k,4.6k,79,15
8602,Brillio,3.4,1.3k,10.3k,141,15
8603,GEP Worldwide,3.6,1.3k,9.1k,154,11
8604,Cinépolis,3.8,1.3k,2.9k,78,23
8605,Pantaloons,4.1,1.3k,2.8k,69,--
8606,Hindustan Construction Company,4.3,1.3k,3.2k,93,5
